"item1"	"item2"	"item3"	"item4"	"item5"	"item6"	"item7"	"item8"	"item9"	"item10"	"item11"	"item12"	"item13"	"item14"	"item15"	"item16"	"item17"	"item18"	"item19"	"item20"	"item21"	"item22"	"item23"	"item24"	"item25"	"item26"	"item27"	"item28"	"item29"	"item30"	"item31"	"item32"	"item33"	"item34"	"item35"	"item36"	"item37"	"item38"	"item39"	"item40"	"item41"	"item42"	"item43"	"item44"	"item45"	"item46"	"item47"	"item48"	"item49"	"item50"	"id"
2	4	4	2	4	2	1	1	1	3	4	3	1	3	4	2	4	1	2	4	3	4	2	4	4	1	2	2	2	2	1	2	4	3	4	1	2	3	1	2	1	4	2	2	3	4	1	1	3	2	1
3	2	4	1	1	2	1	1	1	3	4	2	1	2	4	2	4	1	2	4	1	4	2	1	3	1	2	2	4	2	1	2	4	3	4	4	2	1	2	2	1	4	3	2	2	4	4	1	2	2	2
2	2	4	1	4	2	4	4	1	2	4	4	1	3	4	2	4	1	2	4	1	4	2	1	3	1	2	3	4	2	3	2	4	3	4	4	2	4	2	2	1	4	3	2	2	4	4	1	2	2	3
3	2	4	1	4	2	1	1	1	3	4	2	1	3	4	2	4	1	2	4	1	4	2	1	2	1	2	2	4	3	1	2	4	1	4	1	2	1	2	2	1	4	3	2	3	2	4	1	3	2	4
3	2	4	1	4	2	1	1	1	3	4	4	1	2	4	2	4	2	2	4	1	4	2	1	2	1	2	2	4	2	1	2	4	3	4	4	2	1	2	2	1	4	3	2	2	4	4	1	2	2	5
3	2	4	1	1	2	1	1	1	3	4	2	1	2	4	2	4	1	2	4	1	4	2	1	4	1	2	2	4	2	1	2	4	3	4	4	2	1	2	2	1	4	3	2	2	4	4	1	3	2	6
1	2	4	1	4	2	4	4	1	4	4	4	1	3	4	2	4	1	2	4	1	4	2	1	1	1	3	3	4	2	1	2	4	3	4	4	1	3	2	2	1	4	3	2	1	4	4	1	3	2	7
3	2	4	1	2	2	1	1	1	3	4	4	1	4	4	2	4	1	2	4	1	2	2	1	2	1	2	2	4	2	1	2	4	4	4	4	3	1	2	2	1	4	3	1	1	4	4	1	3	2	8
1	2	4	2	3	2	1	1	1	3	4	1	1	2	4	2	4	2	2	4	3	4	2	1	2	1	2	2	4	2	1	2	4	2	4	1	2	1	2	2	1	4	3	2	2	1	4	1	3	2	9
1	2	4	1	2	2	1	1	1	4	4	2	1	2	4	2	4	1	2	4	3	4	2	1	2	1	2	2	4	1	1	4	4	3	4	4	2	1	3	2	1	4	3	2	2	4	4	1	3	2	10
3	2	2	1	2	2	1	1	1	3	3	4	1	2	2	2	4	2	2	4	1	4	2	2	4	1	2	2	4	3	4	2	4	4	4	3	1	3	2	2	1	4	3	2	1	2	3	1	3	2	11
3	2	4	3	1	2	1	1	1	4	4	2	1	2	4	2	4	1	2	4	1	4	2	1	4	1	2	2	4	2	1	2	4	3	4	4	2	2	2	2	1	4	3	2	1	2	4	1	3	2	12
